req_id	route	estimated_p50_minutes	wall_minutes	completed_at
REQ-208	B	85	14	2026-08-17T00:16:51Z
REQ-210	A	25	2	2026-08-17T00:26:46Z
REQ-209	B	60	14	2026-08-17T00:32:08Z
REQ-211	B	35	3	2026-08-17T08:10:54Z
REQ-212	B	30	2	2026-08-17T08:14:14Z
REQ-213	B	35	10	2026-08-17T08:25:24Z
REQ-214	B	10	2	2026-08-17T08:29:10Z
REQ-215	A	10	2	2026-08-17T08:32:42Z
REQ-203	B	20	14	2026-08-17T18:27:39Z
REQ-204	B	30	6	2026-08-17T18:37:31Z
REQ-205	B	30	4	2026-08-17T18:45:53Z
REQ-206	B	20	5	2026-08-17T18:55:01Z
REQ-216	A	5	6	2026-08-17T19:04:40Z
REQ-217	B	40	8	2026-08-17T19:13:20Z
REQ-218	A	5	4	2026-08-17T19:21:16Z
REQ-219	C	55	11	2026-08-17T19:36:37Z
REQ-220	B	30	18	2026-08-17T20:54:49Z
REQ-221	B	35	25	2026-08-17T21:21:18Z
REQ-225	B	20	13	2026-08-18T00:20:49Z
REQ-226	C	50	30	2026-08-18T00:55:23Z
REQ-227	C	65	20	2026-08-18T01:19:09Z
REQ-228	C	55	13	2026-08-18T01:35:36Z
REQ-229	B	30	5	2026-08-18T01:43:47Z
REQ-232	B	20	4	2026-08-18T01:50:46Z
REQ-231	B	35	37	2026-08-18T10:52:30Z
REQ-230	B	20	6	2026-08-18T11:02:00Z
REQ-234	A	5	11	2026-08-18T11:07:00Z
REQ-233	B	30	10	2026-08-18T11:10:30Z
REQ-236	C	60	20	2026-08-18T11:20:00Z
REQ-235	C	75	24	2026-08-18T11:37:10Z
REQ-240	B	25	21	2026-08-18T12:03:00Z
REQ-237	B	30	28	2026-08-18T12:10:30Z
REQ-238	B	15	23	2026-08-18T12:20:30Z
REQ-239	B	20	30	2026-08-18T12:27:21Z
REQ-241	B	35	68	2026-08-18T13:51:09Z
REQ-243	B	20	68	2026-08-18T13:51:43Z
REQ-245	A	5	68	2026-08-18T13:52:03Z
REQ-242	B	25	55	2026-08-18T14:00:46Z
REQ-244	C	55	59	2026-08-18T14:04:36Z
REQ-246	C	45	100	2026-08-18T17:49:50Z
REQ-249	B	45	119	2026-08-18T18:08:42Z
REQ-248	B	30	135	2026-08-18T18:24:42Z
REQ-251	A	5	15	2026-08-18T18:41:26Z
REQ-250	B	25	33	2026-08-18T18:58:44Z
REQ-247	C	40	46	2026-08-18T19:11:56Z
REQ-253	A	5	18	2026-08-18T19:31:15Z
REQ-254	B	5	40	2026-08-18T19:53:41Z
REQ-252	B	25	55	2026-08-18T20:08:09Z
REQ-256	A	5	12	2026-08-18T20:21:34Z
REQ-255	B	35	55	2026-08-18T21:04:12Z
REQ-259	B	25	29	2026-08-18T21:45:31Z
REQ-260	A	15	79	2026-08-18T22:36:02Z
REQ-257	B	25	102	2026-08-18T22:58:40Z
REQ-261	A	15	14	2026-08-18T23:14:21Z
REQ-267	B	25	40	2026-08-18T23:39:58Z
REQ-265	A	15	55	2026-08-18T23:54:48Z
REQ-289	C	60	66	2026-08-19T15:48:05Z
REQ-290	B	15	40	2026-08-19T16:35:00Z
REQ-268	B	20	33	2026-08-19T19:45:13Z
REQ-270	B	15	19	2026-08-19T20:07:36Z
REQ-276	A	10	19	2026-08-19T20:29:22Z
REQ-282	B	20	12	2026-08-19T20:44:05Z
REQ-258	B	5	22	2026-08-20T08:39:00Z
REQ-300	B	5	9	2026-08-20T11:51:20Z
REQ-263	B	5	15	2026-08-20T12:12:48Z
REQ-264	B	5	9	2026-08-20T12:25:10Z
REQ-301	B	25	10	2026-08-20T12:38:40Z
REQ-271	B	20	14	2026-08-20T12:55:37Z
REQ-262	B	5	26	2026-08-20T23:18:39Z
REQ-269	C	50	14	2026-08-20T23:36:44Z
REQ-274	B	25	5	2026-08-20T23:45:29Z
REQ-280	B	30	10	2026-08-20T23:57:51Z
REQ-281	B	30	7	2026-08-21T00:07:52Z
REQ-284	B	30	8	2026-08-21T00:19:28Z
REQ-285	B	25	8	2026-08-21T00:31:24Z
REQ-288	C	45	23	2026-08-21T00:57:58Z
REQ-291	B	40	10	2026-08-21T01:12:05Z
REQ-292	C	50	22	2026-08-21T01:38:03Z
REQ-266	A	10	5	2026-08-21T01:47:35Z
REQ-277	B	15	5	2026-08-21T01:56:42Z
REQ-293	B	35	26	2026-08-21T02:27:01Z
REQ-298	C	45	17	2026-08-21T02:48:28Z
REQ-299	C	40	29	2026-08-21T03:20:43Z
REQ-303	B	15	10	2026-08-21T08:10:58Z
REQ-304	B	25	10	2026-08-21T08:26:15Z
REQ-305	B	20	10	2026-08-21T08:40:45Z
REQ-308	B	5	12	2026-08-21T08:57:04Z
REQ-309	C	40	38	2026-08-21T16:19:08Z
REQ-310	B	25	26	2026-08-21T16:51:29Z
REQ-312	C	50	59	2026-08-21T17:54:32Z
REQ-313	B	30	17	2026-08-21T18:16:11Z
REQ-314	B	5	31	2026-08-21T18:51:21Z
REQ-316	B	5	15	2026-08-21T19:11:08Z
REQ-317	B	5	20	2026-08-21T19:35:38Z
REQ-318	A	5	28	2026-08-22T23:19:44Z
REQ-319	B	35	77	2026-08-23T00:40:21Z
REQ-320	B	30	31	2026-08-23T01:15:16Z
REQ-321	B	35	43	2026-08-23T02:12:30Z
REQ-322	B	35	41	2026-08-23T03:37:18Z
REQ-325	B	30	32	2026-08-23T19:29:47Z
REQ-336	B	35	28	2026-08-23T20:09:24Z
REQ-337	B	30	10	2026-08-23T20:26:47Z
REQ-338	B	30	14	2026-08-23T20:47:14Z
REQ-356	C	45	57	2026-08-24T15:14:05Z
REQ-350	B	30	31	2026-08-24T15:52:05Z
REQ-349	B	25	74	2026-08-24T16:14:09Z
REQ-348	C	40	101	2026-08-24T16:41:18Z
REQ-353	A	10	15	2026-08-24T16:58:09Z
REQ-352	B	35	39	2026-08-24T17:22:38Z
REQ-351	B	40	53	2026-08-24T17:36:50Z
REQ-355	A	5	29	2026-08-24T18:12:09Z
REQ-354	B	35	63	2026-08-24T18:45:30Z
REQ-360	C	50	72	2026-08-24T18:55:00Z
REQ-361	C	35	45	2026-08-24T19:42:36Z
REQ-362	B	25	73	2026-08-24T20:10:47Z
REQ-364	B	30	79	2026-08-24T20:16:16Z
REQ-365	A	5	23	2026-08-24T20:41:17Z
REQ-366	B	35	38	2026-08-24T20:56:19Z
REQ-367	B	5	44	2026-08-24T21:02:17Z
REQ-371	C	50	46	2026-08-24T21:20:16Z
REQ-368	B	5	35	2026-08-24T21:41:02Z
REQ-369	B	5	26	2026-08-24T21:47:55Z
REQ-370	C	45	22	2026-08-24T22:11:03Z
REQ-372	A	5	6	2026-08-25T08:36:51Z
REQ-373	A	5	9	2026-08-25T08:47:30Z
